method,time_years,relative_energy_error
ias15,0.5764286845727102,9.780543053226356e-16
ias15,0.5805460323196594,1.3692760274516897e-15
ias15,0.5846633800666086,9.780543053226356e-16
ias15,0.5887807278135577,2.220446049250313e-16
ias15,0.5928980755605069,5.868325831935813e-16
ias15,0.597015423307456,2.5429411938388524e-15
ias15,0.6011327710544052,1.1736651663871627e-15
ias15,0.6052501188013544,3.325384638096961e-15
ias15,0.6093674665483035,2.1517194717097983e-15
ias15,0.6134848142952527,2.1517194717097983e-15
ias15,0.6176021620422019,1.9561086106452713e-15
ias15,0.621719509789151,9.780543053226356e-16
ias15,0.6258368575361002,1.9561086106452713e-15
ias15,0.6299542052830494,3.325384638096961e-15
ias15,0.6340715530299985,1.3692760274516897e-15
ias15,0.6381889007769477,3.716606360226015e-15
ias15,0.6423062485238968,1.3692760274516897e-15
ias15,0.646423596270846,2.3473303327743254e-15
ias15,0.6505409440177952,2.7385520549033795e-15
ias15,0.6546582917647443,2.934162915967907e-15
ias15,0.6587756395116935,1.9561086106452713e-15
ias15,0.6628929872586427,3.520995499161488e-15
ias15,0.6670103350055918,2.7385520549033795e-15
ias15,0.671127682752541,2.7385520549033795e-15
ias15,0.6752450304994901,1.9561086106452713e-15
ias15,0.6793623782464393,1.760497749580744e-15
ias15,0.6834797259933885,2.5429411938388524e-15
ias15,0.6875970737403376,3.325384638096961e-15
ias15,0.6917144214872868,2.5429411938388524e-15
ias15,0.695831769234236,2.934162915967907e-15
ias15,0.6999491169811851,1.760497749580744e-15
ias15,0.7040664647281343,2.3473303327743254e-15
ias15,0.7081838124750834,2.934162915967907e-15
ias15,0.7123011602220326,2.7385520549033795e-15
ias15,0.7164185079689818,2.1517194717097983e-15
ias15,0.7205358557159309,3.9122172212905424e-16
ias15,0.7246532034628801,7.824434442581085e-16
ias15,0.7287705512098293,4.499049804484124e-15
ias15,0.7328878989567784,2.7385520549033795e-15
ias15,0.7370052467037276,2.5429411938388524e-15
ias15,0.7411225944506767,2.220446049250313e-16
ias15,0.7452399421976259,1.760497749580744e-15
ias15,0.7493572899445751,2.3473303327743254e-15
ias15,0.7534746376915242,1.9561086106452713e-15
ias15,0.7575919854384734,3.9122172212905425e-15
ias15,0.7617093331854226,4.890271526613178e-15
ias15,0.7658266809323717,1.1736651663871627e-15
ias15,0.7699440286793209,3.129773777032434e-15
ias15,0.77406137642627,2.934162915967907e-15
ias15,0.7781787241732192,3.520995499161488e-15
ias15,0.7822960719201684,3.9122172212905424e-16
ias15,0.7864134196671175,2.7385520549033795e-15
ias15,0.7905307674140667,2.5429411938388524e-15
ias15,0.7946481151610159,9.780543053226356e-16
ias15,0.798765462907965,3.9122172212905424e-16
ias15,0.8028828106549142,3.325384638096961e-15
ias15,0.8070001584018633,1.564886888516217e-15
