mode,case,desired_half_window_days,desired_switch_start_days,desired_switch_end_days,closest_approach_days,closest_approach_distance_AU,actual_switch_start_days,actual_switch_end_days,actual_start_offset_before_ca_days,actual_end_offset_after_ca_days,desired_switch_start_distance_AU,desired_switch_end_distance_AU,actual_switch_start_distance_AU,actual_switch_end_distance_AU,steps_taken,final_relE,max_relE
ias15_whfast_fake_hj,4,46.42857142857143,54168.274792377,54261.131935234145,54214.70336380557,0.00263465729545114,54176.51696534189,54266.51696534189,38.186398463680234,51.813601536319766,0.06992643533490937,0.07145269115032918,0.05489993965974271,0.08297000803666113,78,1.4474059066448697e-05,1.4474059066564354e-05
ias15_whfast_fake_hj,5,58.57142857142857,54156.131935234145,54273.274792377,54214.70336380557,0.00263465729545114,54159.00316663179,54279.00316663179,55.700197173784545,64.29980282621545,0.09503851462803205,0.09888944269380337,0.08878318190689435,0.11371932469802778,78,6.0547229221413e-06,1.5208071511555879e-05
ias15_whfast_fake_hj,6,70.71428571428571,54143.98907809129,54285.417649519855,54214.70336380557,0.00263465729545114,54150.43284671767,54290.43284671767,64.27051708790532,75.72948291209468,0.12350577761881093,0.1318150900879444,0.10801029000652546,0.14706421032586833,77,1.3985205550291737e-06,2.912949115077136e-05
ias15_whfast_fake_hj,7,82.85714285714286,54131.84622094843,54297.56050666272,54214.70336380557,0.00263465729545114,54133.52434262014,54303.52434262014,81.17902118543134,88.82097881456866,0.1546997139607523,0.17037735089527284,0.15025943111378845,0.1913221629783862,77,9.344512061729835e-06,3.5638755153172985e-05
ias15_whfast_fake_hj,8,95.0,54119.70336380557,54309.70336380557,54214.70336380557,0.00263465729545114,54125.12625454987,54315.12625454987,89.57710925570427,100.42289074429573,0.1876500793395966,0.21434063335157247,0.17278998048491248,0.23558306655852676,77,1.8968832775166753e-05,4.088362502372667e-05
ias15_whfast_fake_hj,9,107.14285714285714,54107.56050666272,54321.84622094843,54214.70336380557,0.00263465729545114,54108.28967424379,54328.28967424379,106.41368956178485,113.58631043821515,0.22117503929788745,0.26315050793862194,0.21916870001228633,0.29074700571097206,76,7.918602745500827e-06,5.621349088680399e-05
ias15_whfast_fake_hj,10,119.28571428571428,54095.417649519855,54333.98907809129,54214.70336380557,0.00263465729545114,54099.78940146178,54339.78940146178,114.91396234379499,125.08603765620501,0.25401081449918195,0.315984940990979,0.24234775232797728,0.34234519839607597,76,6.0756493914411085e-06,6.574849034472852e-05
ias15_whfast_fake_hj,11,131.42857142857142,54083.274792377,54346.131935234145,54214.70336380557,0.00263465729545114,54091.19305097467,54351.19305097467,123.5103128309056,136.4896871690944,0.2849295371008192,0.37179683979613254,0.2650445920456874,0.39565090352468885,75,6.499082505131376e-06,7.124711503039357e-05
ias15_whfast_fake_hj,12,143.57142857142856,54071.131935234145,54358.274792377,54214.70336380557,0.00263465729545114,54073.58783485013,54363.58783485013,141.11552895544446,148.88447104455554,0.31283436269959214,0.42935607447259316,0.30748048909633013,0.4547450033080348,75,7.3809924712076176e-06,8.089890228563761e-05
ias15_whfast_fake_hj,13,155.71428571428572,54058.98907809129,54370.417649519855,54214.70336380557,0.00263465729545114,54064.51754440494,54374.51754440494,150.1858194006345,159.8141805993655,0.33682482449851275,0.487297517602661,0.32643601576492587,0.5066942208066509,75,1.2184622218158593e-05,8.552486516123226e-05
