# a   rel_err_y0   rel_err_y1   rel_err_y2
8.60993752184601676e-10 9.53051805141491570e-07 1.36235467351752959e-12 2.22044604925031308e-16
8.70963589956079631e-10 1.72464559042850851e-05 4.46162884415457484e-10 0.00000000000000000e+00
8.81048873008014695e-10 1.71691064838608298e-05 4.42169967307393108e-10 2.22044604925031308e-16
8.91250938133744103e-10 1.31105414646892626e-06 2.57838195238946355e-12 0.00000000000000000e+00
9.01571137605957050e-10 6.71893074088991682e-06 6.77162770301720229e-11 0.00000000000000000e+00
9.12010839355911531e-10 1.17129353227607425e-05 2.05790051666099316e-10 0.00000000000000000e+00
9.22571427154762885e-10 1.38099818756121095e-05 2.86074719468842886e-10 0.00000000000000000e+00
9.33254300796992433e-10 9.76010281616979114e-06 1.42888811893726597e-10 0.00000000000000000e+00
9.44060876285922588e-10 4.06084604218648337e-05 2.47360398830664963e-09 2.22044604925031308e-16
9.54992586021436808e-10 1.18762228171753748e-05 2.11567763308551093e-10 2.22044604925031308e-16
9.66050878989812067e-10 1.16453473981703581e-05 2.03421945954573857e-10 0.00000000000000000e+00
9.77237220955811180e-10 4.06047413712418148e-05 2.47315101731260256e-09 0.00000000000000000e+00
9.88553094656937075e-10 1.84523527415603183e-05 5.10730902014699950e-10 2.22044604925031308e-16
1.00000000000000006e-09 3.07815574978054229e-05 1.42127098978761524e-09 2.22044604925031308e-16
1.01157945425989616e-09 2.34022845666537194e-05 8.21506862536125482e-10 0.00000000000000000e+00
1.02329299228075364e-09 1.45974784020452830e-05 3.19631099365835780e-10 2.22044604925031308e-16
1.03514216667934521e-09 4.47526314417689974e-05 3.00424207733129833e-09 1.11022302462515654e-16
1.04712854805089844e-09 3.08813560632170692e-05 1.43047251821570853e-09 2.22044604925031308e-16
1.05925372517728981e-09 3.01490652709901497e-05 1.36346289814071042e-09 0.00000000000000000e+00
1.07151930523760488e-09 9.45582010603018830e-06 1.34119271244514948e-10 1.11022302462515654e-16
1.08392691402120381e-09 1.28097162224172223e-05 2.46134335135650417e-10 2.22044604925031308e-16
1.09647819614318289e-09 3.25434334982332985e-05 1.58862978327789506e-09 2.22044604925031308e-16
1.10917481526240098e-09 5.80189175836132165e-06 5.04928321376496569e-11 1.11022302462515654e-16
1.12201845430196530e-09 3.93186056952821161e-05 2.31895946889437710e-09 0.00000000000000000e+00
1.13501081567231441e-09 1.57478361075824580e-05 3.71989661296368013e-10 2.22044604925031308e-16
1.14815362149688403e-09 2.22869097254996262e-05 7.45065009688516966e-10 2.22044604925031308e-16
1.16144861384034147e-09 6.64695452956554078e-06 6.62729870981593194e-11 0.00000000000000000e+00
1.17489755493953032e-09 1.64480546056555710e-05 4.05809830184011844e-10 0.00000000000000000e+00
1.18850222743701643e-09 6.48168673356153136e-06 6.30185903460755981e-11 1.11022302462515654e-16
1.20226443461741320e-09 2.37503901465707656e-05 8.46128389575540041e-10 1.11022302462515654e-16
1.21618600064637039e-09 1.66084723431936254e-05 4.13764245088543703e-10 2.22044604925031308e-16
1.23026877081238114e-09 1.11302324687923004e-05 1.85823911813542964e-10 0.00000000000000000e+00
1.24451461177138695e-09 7.53760885707777106e-06 8.52237169723935040e-11 1.11022302462515654e-16
1.25892541179416627e-09 1.49265506395046543e-05 3.34204552920880360e-10 1.11022302462515654e-16
1.27350308101666294e-09 6.91538590347207105e-06 7.17339521116855394e-11 0.00000000000000000e+00
1.28824955169313225e-09 1.03482111806219024e-05 1.60628843559607049e-10 0.00000000000000000e+00
1.30316677845230008e-09 7.56673641211236259e-06 8.58835225159282345e-11 0.00000000000000000e+00
1.31825673855641009e-09 7.73235055273602256e-06 8.96841489961275329e-11 1.11022302462515654e-16
1.33352143216332393e-09 1.10887810103044160e-05 1.84442239259396956e-10 0.00000000000000000e+00
1.34896288259165061e-09 1.78836811588478639e-05 4.79742023884455193e-10 0.00000000000000000e+00
1.36458313658892386e-09 8.57158990885675820e-06 1.10207731829348177e-10 2.22044604925031308e-16
1.38038426460288674e-09 2.42226379503218681e-05 8.80111428180896382e-10 2.22044604925031308e-16
1.39636836105593632e-09 2.26424743241526727e-05 7.69016850199477631e-10 1.11022302462515654e-16
1.41253754462275548e-09 1.87693955855383621e-05 5.28438515168261347e-10 2.22044604925031308e-16
1.42889395851110083e-09 1.01862492440929486e-06 1.55631063591954444e-12 0.00000000000000000e+00
1.44543977074592804e-09 1.21691419721070559e-05 2.22133089700093933e-10 1.11022302462515654e-16
1.46217717445671536e-09 1.13001666952605717e-05 1.91541338345757595e-10 2.22044604925031308e-16
1.47910838816820723e-09 3.67791477395851274e-06 2.02905470203518234e-11 2.22044604925031308e-16
1.49623565609443582e-09 1.55345414647456437e-05 3.61984886509958415e-10 1.11022302462515654e-16
1.51356124843620727e-09 1.78115639511977619e-05 4.75874895045080848e-10 0.00000000000000000e+00
1.53108746168203185e-09 1.29513199205177898e-05 2.51606069312515501e-10 0.00000000000000000e+00
1.54881661891247967e-09 9.02981243777745135e-07 1.22302168392707244e-12 0.00000000000000000e+00
1.56675107010815015e-09 4.86460096960072974e-06 3.54964946325253550e-11 0.00000000000000000e+00
1.58489319246111093e-09 1.53543925929255920e-05 3.53637785721616638e-10 2.22044604925031308e-16
1.60324539069004168e-09 7.36311787696841691e-06 8.13229483753730165e-11 0.00000000000000000e+00
1.62181009735893311e-09 6.80378526474179068e-06 6.94372337406434781e-11 0.00000000000000000e+00
1.64058977319953877e-09 8.05834748796030453e-06 9.74056391100930341e-11 0.00000000000000000e+00
1.65958690743756315e-09 1.38165811888191215e-05 2.86345391842246499e-10 0.00000000000000000e+00
1.67880401812255887e-09 1.26738164196726899e-05 2.40939268536521922e-10 2.22044604925031308e-16
1.69824365246174601e-09 1.64447175368120924e-05 4.05645406154064858e-10 1.11022302462515654e-16
1.71790838715758592e-09 1.30695208667708229e-05 2.56217491667598551e-10 0.00000000000000000e+00
1.73780082874937624e-09 1.75422724011387032e-05 4.61599647394450585e-10 0.00000000000000000e+00
1.75792361395869659e-09 1.51796924536817812e-05 3.45636297360840672e-10 2.22044604925031308e-16
1.77827941003892282e-09 1.10882305397463909e-05 1.84424142624095566e-10 1.11022302462515654e-16
1.79887091512878381e-09 5.17268504762746772e-06 4.01350064294092590e-11 0.00000000000000000e+00
1.81970085860998247e-09 9.03695063336762416e-06 1.22499899113392985e-10 2.22044604925031308e-16
1.84077200146895827e-09 1.15346779949732081e-05 1.99573912951223065e-10 0.00000000000000000e+00
1.86208713666286556e-09 1.92673131786946783e-05 5.56840462628827026e-10 2.22044604925031308e-16
1.88364908948980212e-09 3.55992336280586130e-05 1.90098070618205384e-09 0.00000000000000000e+00
1.90546071796324440e-09 2.50329748014976872e-05 9.39982536252159662e-10 0.00000000000000000e+00
1.92752491319093662e-09 8.00882962015414535e-06 9.62117052694111408e-11 0.00000000000000000e+00
1.94984459975804158e-09 3.56313822296172589e-05 1.90441573622024407e-09 0.00000000000000000e+00
1.97242273611485333e-09 2.03551382815803095e-06 6.21491746954916380e-12 2.22044604925031308e-16
1.99526231496888278e-09 1.28919279693828770e-05 2.49303799826350314e-10 0.00000000000000000e+00
2.01836636368155948e-09 2.42400417225230314e-05 8.81376416295154286e-10 2.22044604925031308e-16
2.04173794466953170e-09 2.02023010775764789e-05 6.12195294458217631e-10 1.11022302462515654e-16
2.06538015581052711e-09 3.78525160931175719e-05 2.14924655850268209e-09 0.00000000000000000e+00
2.08929613085404097e-09 5.31317005691978039e-06 4.23447943376231706e-11 0.00000000000000000e+00
2.11348903983664317e-09 3.26249764921460184e-05 1.59660107357240122e-09 0.00000000000000000e+00
2.13796208950223242e-09 1.45540312501690750e-05 3.17731285726097212e-10 0.00000000000000000e+00
