step,t,dt,relE
6184,5.4122380400000002e+04,1.0000000000000000e+01,1.2925498656476887e-11
6185,5.4132380400000002e+04,1.0000000000000000e+01,3.1855277505984495e-11
6186,5.4142380400000002e+04,1.0000000000000000e+01,7.3997658635055722e-11
6187,5.4152380400000002e+04,1.0000000000000000e+01,1.7653675580990731e-10
6188,5.4162380400000002e+04,1.0000000000000000e+01,4.5324369738514939e-10
6189,5.4172380400000002e+04,1.0000000000000000e+01,1.2953561963986171e-09
6190,5.4182380400000002e+04,1.0000000000000000e+01,3.9546988973875209e-09
6191,5.4192380400000002e+04,1.0000000000000000e+01,1.0097015380137145e-07
6192,5.4202380400000002e+04,1.0000000000000000e+01,2.5402253294899637e-05
6193,5.4212380400000002e+04,1.0000000000000000e+01,4.0519245615384833e-04
6194,5.4222380400000002e+04,1.0000000000000000e+01,6.1760734775650333e-04
6195,5.4232380400000002e+04,1.0000000000000000e+01,6.6227906097450983e-04
6196,5.4242380400000002e+04,1.0000000000000000e+01,6.6263092108788369e-04
6197,5.4252380400000002e+04,1.0000000000000000e+01,6.6261039571349897e-04
6198,5.4262380400000002e+04,1.0000000000000000e+01,6.6260538414678603e-04
6199,5.4272380400000002e+04,1.0000000000000000e+01,6.6260382192997829e-04
6200,5.4282380400000002e+04,1.0000000000000000e+01,6.6260326896346109e-04
6201,5.4292380400000002e+04,1.0000000000000000e+01,6.6260305317242523e-04
6202,5.4302380400000002e+04,1.0000000000000000e+01,6.6260296187935382e-04
6203,5.4312380400000002e+04,1.0000000000000000e+01,6.6260292046457856e-04
6204,5.4322380400000002e+04,1.0000000000000000e+01,6.6260290047768361e-04
6205,5.4332380400000002e+04,1.0000000000000000e+01,6.6260289028125603e-04
6206,5.4342380400000002e+04,1.0000000000000000e+01,6.6260288481247338e-04
6207,5.4352380400000002e+04,1.0000000000000000e+01,6.6260288174232627e-04
6208,5.4362380400000002e+04,1.0000000000000000e+01,6.6260287994777348e-04
6209,5.4372380400000002e+04,1.0000000000000000e+01,6.6260287885942977e-04
6210,5.4382380400000002e+04,1.0000000000000000e+01,6.6260287817750899e-04
6211,5.4392380400000002e+04,1.0000000000000000e+01,6.6260287773696686e-04
6212,5.4402380400000002e+04,1.0000000000000000e+01,6.6260287744643342e-04
6213,5.4412380400000002e+04,1.0000000000000000e+01,6.6260287725259032e-04
6214,5.4422380400000002e+04,1.0000000000000000e+01,6.6260287712108690e-04
6215,5.4432380400000002e+04,1.0000000000000000e+01,6.6260287703422756e-04
6216,5.4442380400000002e+04,1.0000000000000000e+01,6.6260287697813332e-04
6217,5.4452380400000002e+04,1.0000000000000000e+01,6.6260287694517076e-04
6218,5.4462380400000002e+04,1.0000000000000000e+01,6.6260287692874727e-04
6219,5.4472380400000002e+04,1.0000000000000000e+01,6.6260287692805338e-04
6220,5.4482380400000002e+04,1.0000000000000000e+01,6.6260287694239499e-04
6221,5.4492380400000002e+04,1.0000000000000000e+01,6.6260287696807106e-04
6222,5.4502380400000002e+04,1.0000000000000000e+01,6.6260287700461908e-04
6223,5.4512380400000002e+04,1.0000000000000000e+01,6.6260287705296420e-04
6224,5.4522380400000002e+04,1.0000000000000000e+01,6.6260287711241252e-04
6225,5.4532380400000002e+04,1.0000000000000000e+01,6.6260287717880039e-04
6226,5.4542380400000002e+04,1.0000000000000000e+01,6.6260287725166506e-04
6227,5.4552380400000002e+04,1.0000000000000000e+01,6.6260287732499237e-04
6228,5.4562380400000002e+04,1.0000000000000000e+01,6.6260287739149581e-04
6229,5.4572380400000002e+04,1.0000000000000000e+01,6.6260287743984093e-04
6230,5.4572880400000002e+04,5.0000000000000000e-01,6.6260287743984093e-04
