step,t,dt,relE
2426,2.3154702239999999e+04,1.0000000000000000e+01,-3.8391402488811999e-15
2427,2.3164702239999999e+04,1.0000000000000000e+01,-3.7228026655817699e-15
2428,2.3174702239999999e+04,1.0000000000000000e+01,-5.2351912484743639e-15
2429,2.3184702239999999e+04,1.0000000000000000e+01,-5.8168791649715151e-15
2430,2.3194702239999999e+04,1.0000000000000000e+01,-6.6312422480675271e-15
2431,2.3204702239999999e+04,1.0000000000000000e+01,-5.3515288317737938e-15
2432,2.3214702239999999e+04,1.0000000000000000e+01,-4.5371657486777819e-15
2433,2.3224702239999999e+04,1.0000000000000000e+01,-4.0718154154800605e-15
2434,2.3234702239999999e+04,1.0000000000000000e+01,-7.0965925812652484e-15
2435,2.3244702239999999e+04,1.0000000000000000e+01,-6.8639174146663878e-15
2436,2.3254702239999999e+04,1.0000000000000000e+01,-7.7946180810618296e-15
2437,2.3264702239999999e+04,1.0000000000000000e+01,-7.0965925812652484e-15
2438,2.3274702239999999e+04,1.0000000000000000e+01,-7.5619429144629698e-15
2439,2.3284702239999999e+04,1.0000000000000000e+01,-7.9109556643612612e-15
2440,2.3294702239999999e+04,1.0000000000000000e+01,-7.5619429144629698e-15
2441,2.3304702239999999e+04,1.0000000000000000e+01,-8.4926435808584124e-15
2442,2.3314702239999999e+04,1.0000000000000000e+01,-6.7475798313669578e-15
2443,2.3324702239999999e+04,1.0000000000000000e+01,-5.4678664150732245e-15
2444,2.3334702239999999e+04,1.0000000000000000e+01,-5.4678664150732245e-15
2445,2.3344702239999999e+04,1.0000000000000000e+01,-5.9332167482709459e-15
2446,2.3354702239999999e+04,1.0000000000000000e+01,-7.7946180810618296e-15
2447,2.3364702239999999e+04,1.0000000000000000e+01,-9.8886945804515764e-15
2448,2.3374702239999999e+04,1.0000000000000000e+01,-9.5396818305532850e-15
2449,2.3375202200000000e+04,4.9996000000101048e-01,-9.3070066639544236e-15
