id,family,tree,masses,a_inner,e_inner,a_outer,e_outer,mutual_inc_deg,phases_deg,dt_divisor,reference_period,dt,duration,n_steps,hierarchy_margin,whfast_failure,whfast_max_error,whfast_rms_error,whfast_hj_failure,whfast_hj_max_error,whfast_hj_rms_error,improvement,runtime_seconds
candidate_0620,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.7, 0.9, 0.6]","[1.0, 1.0]","[0.5, 0.4]",40.0,0.35,0.0,"[73.0, 211.0, 179.0]",20,4.818983149046953,0.24094915745234763,615.6239184776948,2555,17.333333333333332,,0.010981694105390285,0.004998935036952682,,2.2101258571042896e-06,4.200201059941238e-07,4968.809387071973,0.016850583000000086
candidate_0267,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.7, 0.9, 0.6]","[1.0, 0.8]","[0.35, 0.1]",40.0,0.35,145.0,"[0.0, 137.0, 61.0]",10,3.6708718141091055,0.36708718141091057,578.2779778856343,1576,19.25925925925926,,0.004230831064507456,0.0023108255972622534,,8.642574246829589e-07,2.1841599100142946e-07,4895.336671315817,0.011030708999999916
candidate_0138,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.2, 0.8, 0.15]","[1.0, 1.0]","[0.5, 0.4]",40.0,0.35,35.0,"[73.0, 211.0, 179.0]",40,5.735737209545476,0.1433934302386369,773.5694528766917,5395,17.333333333333332,,0.0022957596988043855,0.0010275360403491686,,4.992691248010536e-07,7.684648967235446e-08,4598.2408780418555,0.03492583299999996
candidate_0334,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.7, 0.9, 0.6]","[1.0, 0.8]","[0.0, 0.0]",40.0,0.35,145.0,"[0.0, 137.0, 61.0]",10,3.6708718141091055,0.36708718141091057,578.2779778856343,1576,26.0,,0.00292523593858819,0.0018000599510364663,,6.509829599221086e-07,1.9183686193141122e-07,4493.567602657679,0.010430916999998985
candidate_0569,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.2, 0.8, 0.15]","[1.0, 0.8]","[0.5, 0.4]",20.0,0.2,145.0,"[0.0, 137.0, 61.0]",10,4.612677018532275,0.4612677018532275,688.2884651454572,1493,10.666666666666666,,0.3807667325890685,0.14041073339510832,,8.6001008774933e-05,5.756183706364046e-05,4427.468212443246,0.01005775000000142
candidate_0066,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 1.0]","[0.1, 0.2]",40.0,0.35,35.0,"[0.0, 137.0, 61.0]",40,4.967294132898051,0.12418235332245127,637.2312954732635,5132,21.666666666666668,,0.0011232645281698554,0.0005720958091666427,,2.540349258573598e-07,1.0426489198505276e-07,4421.693294254219,0.03392854199999995
candidate_0293,stable_2plus2,"[[1,2],[3,4]]","[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0]","[0.35, 0.1]",80.0,0.5,145.0,"[0.0, 137.0, 61.0]",10,4.442882938158366,0.4442882938158366,533.145952579004,1200,29.629629629629626,,0.0043450427830199695,0.0023920791435020194,,9.989631373562884e-07,6.798230059405575e-07,4349.552671702113,0.008539750000000623
candidate_0287,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 0.8]","[0.5, 0.4]",20.0,0.2,145.0,"[73.0, 211.0, 179.0]",20,3.7997133175159234,0.18998566587579618,596.0752959477661,3138,10.666666666666666,,0.01640318857413524,0.007372816079633111,,3.812708395483546e-06,7.17619520880422e-07,4302.240526331914,0.02085479099999965
candidate_0432,stable_2plus2,"[[1,2],[3,4]]","[1.3, 0.3, 0.7, 0.7]","[1.0, 1.0]","[0.0, 0.0]",80.0,0.5,145.0,"[0.0, 137.0, 61.0]",20,4.967294132898051,0.24836470664490254,637.2312954732635,2566,40.0,,0.00022611188284701888,0.00013423489908258624,,5.3178796001425123e-08,1.8993939379524588e-08,4251.918054725409,0.01680779199999982
candidate_0010,stable_2plus2,"[[1,2],[3,4]]","[1.0, 0.2, 0.8, 0.15]","[1.0, 1.0]","[0.5, 0.4]",40.0,0.35,0.0,"[73.0, 211.0, 179.0]",20,5.735737209545476,0.2867868604772738,773.5694528766917,2698,17.333333333333332,,0.00835667170578337,0.0037781825762005215,,2.0128907085399424e-06,3.8934680091085896e-07,4151.577465348287,0.018287249999999977
