step,t,dt,relE
2426,2.3104542809560109e+04,1.0177023071724019e+01,-6.9802549979657757e-16
2427,2.3114719819287588e+04,1.0177009727478159e+01,-2.3267516659885919e-16
2428,2.3124896815758675e+04,1.0176996471087307e+01,-2.3267516659885919e-16
2429,2.3135073799466256e+04,1.0176983707580151e+01,-2.3267516659885919e-16
2430,2.3145250771293428e+04,1.0176971827173258e+01,-1.1633758329942959e-16
2431,2.3155427732486674e+04,1.0176961193245877e+01,-0.0000000000000000e+00
2432,2.3165604684617330e+04,1.0176952130655826e+01,-0.0000000000000000e+00
2433,2.3175781629533842e+04,1.0176944916511454e+01,1.1633758329942959e-16
2434,2.3185958569305159e+04,1.0176939771317759e+01,-1.1633758329942959e-16
2435,2.3196135506157600e+04,1.0176936852439264e+01,-5.8168791649714792e-16
2436,2.3206312442406484e+04,1.0176936248886555e+01,-1.1633758329942959e-16
2437,2.3216489380385810e+04,1.0176937979327297e+01,-0.0000000000000000e+00
2438,2.3226666322376554e+04,1.0176941990741705e+01,-1.1633758329942959e-16
2439,2.3236843270537156e+04,1.0176948160603885e+01,-1.1633758329942959e-16
2440,2.3247020226837329e+04,1.0176956300173959e+01,-3.4901274989828878e-16
2441,2.3257197192998199e+04,1.0176966160871816e+01,3.4901274989828878e-16
2442,2.3267374170439150e+04,1.0176977440949667e+01,-2.3267516659885919e-16
2443,2.3277525744931874e+04,1.0151574492725310e+01,-3.4901274989828878e-16
2444,2.3287409353932231e+04,9.8836090003575787e+00,-0.0000000000000000e+00
2445,2.3297059824898148e+04,9.6504709659150709e+00,-1.1633758329942959e-16
2446,2.3306512902887054e+04,9.4530779889079692e+00,-2.3267516659885919e-16
2447,2.3315804662932551e+04,9.2917600454959288e+00,-1.1633758329942959e-16
2448,2.3324971175081493e+04,9.1665121489430330e+00,-4.6535033319771838e-16
2449,2.3334048333750739e+04,9.0771586692468382e+00,-2.3267516659885919e-16
2450,2.3343071789885111e+04,9.0234561343716599e+00,1.1633758329942959e-16
2451,2.3352076944020835e+04,9.0051541357233358e+00,-0.0000000000000000e+00
2452,2.3361098971795102e+04,9.0220277742682260e+00,-0.0000000000000000e+00
2453,2.3370172861475192e+04,9.0738896800907369e+00,1.1633758329942959e-16
2454,2.3375202200000000e+04,5.0293385248078266e+00,-3.4901274989828878e-16
