step,t,dt,relE
2423,2.3124702200000000e+04,1.0000000000000000e+01,-4.4208281653783243e-15
2424,2.3134702200000000e+04,1.0000000000000000e+01,-4.1881529987794652e-15
2425,2.3144702200000000e+04,1.0000000000000000e+01,-4.0718154154800353e-15
2426,2.3154702200000000e+04,1.0000000000000000e+01,-4.4208281653783243e-15
2427,2.3164702200000000e+04,1.0000000000000000e+01,-5.3515288317737607e-15
2428,2.3174702200000000e+04,1.0000000000000000e+01,-4.5371657486777542e-15
2429,2.3184702200000000e+04,1.0000000000000000e+01,-5.5842039983726205e-15
2430,2.3194702200000000e+04,1.0000000000000000e+01,-5.0025160818754724e-15
2431,2.3204702200000000e+04,1.0000000000000000e+01,-4.0718154154800353e-15
2432,2.3214702200000000e+04,1.0000000000000000e+01,-4.3044905820788944e-15
2433,2.3224702200000000e+04,1.0000000000000000e+01,-4.8861784985760425e-15
2434,2.3234702200000000e+04,1.0000000000000000e+01,-5.4678664150731906e-15
2435,2.3244702200000000e+04,1.0000000000000000e+01,-5.1188536651749016e-15
2436,2.3254702200000000e+04,1.0000000000000000e+01,-4.8861784985760425e-15
2437,2.3264702200000000e+04,1.0000000000000000e+01,-5.4678664150731906e-15
2438,2.3274702200000000e+04,1.0000000000000000e+01,-6.2822294981691978e-15
2439,2.3284702200000000e+04,1.0000000000000000e+01,-4.8861784985760425e-15
2440,2.3294702200000000e+04,1.0000000000000000e+01,-4.7698409152766133e-15
2441,2.3304702200000000e+04,1.0000000000000000e+01,-6.1658919148697679e-15
2442,2.3314702200000000e+04,1.0000000000000000e+01,-4.6535033319771834e-15
2443,2.3324702200000000e+04,1.0000000000000000e+01,-5.3515288317737607e-15
2444,2.3334702200000000e+04,1.0000000000000000e+01,-5.3515288317737607e-15
